date,action,Q_lstm,dQ_xgb,Q_system,leg1_epistemic,leg2_aleatoric,leg3_threshold_safeguard,uale_t,w_t,Q_lo,Q_hi,alpha_t
2008-04-29,model,0.0,13.7564945,0.0,False,False,False,15.063260202298055,9.794813e-07,0.0,0.0008344435750279258,0.14450000000000005
2008-04-30,model,0.0,11.991264,0.0,False,False,False,15.063260202298055,9.794813e-07,0.0,0.0008740858346073689,0.14000000000000004
2008-05-01,model,0.21678467,-3.031249,0.21678467,False,False,False,15.063260202298055,0.0026215345,0.0,2.582670986030075,0.13550000000000004
2008-05-02,model,0.056825258,-6.554852,0.056825258,False,False,False,15.063260202298055,0.0011131857,0.0,1.0607055235539755,0.13600000000000004
2008-05-03,model,0.3689041,-3.541623,0.3689041,False,False,False,15.063260202298055,0.0044332948,0.0,4.479531343670992,0.13150000000000003
2008-05-04,model,0.0,-3.031249,0.0,False,False,False,15.063260202298055,9.794813e-07,0.0,0.0009159204384288253,0.13200000000000003
2008-05-05,model,0.2825424,-2.33197,0.2825424,False,False,False,15.063260202298055,0.0035766612,0.0,3.689635293460003,0.12750000000000003
2008-05-06,model,0.0,-3.4439147,0.0,False,False,False,15.063260202298055,9.794813e-07,0.0,0.0009407412693595315,0.12800000000000003
2008-05-07,model,0.22390899,-3.031249,0.22390899,False,False,False,15.063260202298055,0.0043862937,0.0,4.494549788018607,0.12350000000000003
2008-05-08,model,1.4837952,-3.1791782,1.4837952,False,False,False,15.063260202298055,0.016002903,0.0,17.000580780082345,0.12400000000000003
2008-05-09,model,12.53593,-5.2379403,12.53593,False,False,False,7831.7740420564705,0.046795346,0.0,57.85616892847107,0.12450000000000003
2008-05-10,model,13.533539,-5.0900116,13.533539,False,False,False,7831.7740420564705,0.05842671,0.0,69.90996148758398,0.12500000000000003
2008-05-11,model,16.173122,-5.953431,16.173122,False,False,False,7831.7740420564705,0.05459052,0.0,68.80404599488625,0.12550000000000003
2008-05-12,model,15.464735,-6.6365,15.464735,False,False,False,7831.7740420564705,0.055630106,0.0,69.01648657826055,0.12600000000000003
2008-05-13,model,14.945697,-6.157018,14.945697,False,False,False,7831.7740420564705,0.048830602,0.0,61.87890152265803,0.12650000000000003
2008-05-14,model,12.568426,-5.8210135,12.568426,False,False,False,7831.7740420564705,0.042308155,0.0,53.031138294205505,0.12700000000000003
2008-05-15,model,11.207907,-6.247393,11.207907,False,False,False,7831.7740420564705,0.037611596,0.0,47.00817171157253,0.12750000000000003
2008-05-16,model,9.550031,-5.0697026,9.550031,False,False,False,7831.7740420564705,0.04073458,0.0,48.245571045054305,0.12800000000000003
2008-05-17,model,16.19851,-0.8532508,16.19851,False,False,False,7831.7740420564705,0.038759127,0.0,52.662243398505275,0.12850000000000003
2008-05-18,model,17.873203,5.1920986,17.873203,False,False,False,7831.7740420564705,0.03784369,0.0,53.3069550676374,0.12900000000000003
2008-05-19,defer,14.457071,-0.6612839,13.795788,False,True,False,41034.66194195846,0.028118147,0.0,40.71204255320872,0.12950000000000003
2008-05-20,defer,12.069028,-0.42002067,11.649007,False,True,False,41034.66194195846,0.023121113,0.0,33.62359376924037,0.13000000000000003
2008-05-21,defer,13.19787,-5.2533665,7.944504,False,True,False,41034.66194195846,0.019230764,0.0,31.10754761285221,0.13050000000000003
2008-05-22,model,9.900241,-5.4316564,9.900241,False,False,False,7831.7740420564705,0.01957508,0.0,28.08894378450198,0.13100000000000003
2008-05-23,defer,7.6126084,-5.47472,2.1378884,False,True,False,41034.66194195846,0.023858503,0.0,29.723360625132152,0.13150000000000003
2008-05-24,model,5.2503495,-3.335725,5.2503495,False,False,False,7831.7740420564705,0.029154558,0.0,32.14976590036759,0.13200000000000003
2008-05-25,model,3.573375,-3.2887087,3.573375,False,False,False,7831.7740420564705,0.02381124,0.0,25.243158070593214,0.13250000000000003
2008-05-26,defer,1.3334122,-3.5657458,0.0,True,False,False,15.063260202298055,0.017587615,0.0,17.337076995032863,0.13300000000000003
2008-05-27,defer,3.2275498,-4.7572465,0.0,False,False,False,7831.7740420564705,0.02466697,0.0,25.61578732557693,0.13350000000000004
2008-05-28,model,2.7325149,7.278143,2.7325149,False,False,False,7831.7740420564705,0.021421853,0.0,22.105493054208758,0.13400000000000004
2008-05-29,defer,3.9979615,7.9311957,11.929157,False,True,False,41034.66194195846,0.02363494,0.0,25.366369831148592,0.13450000000000004
2008-05-30,defer,4.012201,6.6592927,10.671494,False,True,False,41034.66194195846,0.024974044,0.0,26.553939494342874,0.13500000000000004
2008-05-31,defer,10.372988,5.828911,16.201899,False,True,False,41034.66194195846,0.021423807,0.0,29.693361836245693,0.13550000000000004
2008-06-01,defer,7.616548,8.136154,15.752703,False,True,False,41034.66194195846,0.02453572,0.0,29.65388521374525,0.13600000000000004
2008-06-02,defer,7.096864,0.6217714,7.7186356,False,True,False,41034.66194195846,0.026337061,0.0,30.66431409345553,0.13650000000000004
2008-06-03,defer,5.9763823,4.2850122,10.2613945,False,True,False,41034.66194195846,0.031937312,0.0,34.51784426420467,0.13700000000000004
