date,Q_mean,Q_std,w_t
2002-08-20,91.34447,7.494905,0.0734112
2002-08-21,91.63761,7.502529,0.07348587
2002-08-22,85.62948,5.908823,0.05787582
2002-08-23,92.10814,5.520802,0.054075226
2002-08-24,101.935814,5.5415106,0.05427806
2002-08-25,105.34839,5.934605,0.05812835
2002-08-26,117.564255,6.6702213,0.065333575
2002-08-27,161.5354,7.273706,0.07124459
2002-08-28,197.68126,10.773914,0.10552848
2002-08-29,239.96875,11.299391,0.110675424
2002-08-30,280.12186,16.701403,0.16358712
2002-08-31,362.58038,29.482014,0.28877082
2002-09-01,402.1573,45.56257,0.44627687
2002-09-02,418.2027,54.01185,0.529036
2002-09-03,433.38287,56.743156,0.55578864
2002-09-04,456.27304,57.31546,0.5613942
2002-09-05,467.71582,62.365044,0.61085397
2002-09-06,468.87238,58.992874,0.5778242
2002-09-07,520.82043,56.958107,0.55789405
2002-09-08,516.6871,63.38136,0.6208086
2002-09-09,506.45026,64.089485,0.62774456
2002-09-10,494.97665,63.210236,0.61913246
2002-09-11,514.46857,50.084816,0.49057144
2002-09-12,529.03357,37.74524,0.36970758
2002-09-13,518.84924,34.159603,0.33458695
2002-09-14,472.28003,35.965015,0.3522706
2002-09-15,441.65845,37.357246,0.36590725
2002-09-16,427.21744,47.8451,0.46863383
2002-09-17,466.76886,57.084297,0.5591301
2002-09-18,472.9436,60.997417,0.5974583
2002-09-19,491.76163,60.530556,0.5928855
2002-09-20,537.8512,60.19493,0.5895981
2002-09-21,541.11975,63.54222,0.6223842
2002-09-22,505.34366,54.770203,0.5364639
2002-09-23,482.15878,53.659126,0.5255811
2002-09-24,461.72357,52.266827,0.5119438
2002-09-25,437.79037,52.13978,0.5106994
2002-09-26,441.41547,56.059307,0.54909045
2002-09-27,463.67603,64.23236,0.629144
2002-09-28,493.2767,75.07068,0.7353033
2002-09-29,518.0456,81.27636,0.7960868
2002-09-30,526.6795,84.10833,0.8238254
2002-10-01,534.57214,86.72146,0.8494205
2002-10-02,580.4328,93.945786,0.92018145
2002-10-03,599.73175,100.79146,0.9872335
2002-10-04,583.38403,101.68537,0.99598926
2002-10-05,569.13336,94.23356,0.92300016
2002-10-06,543.7658,88.41541,0.86601245
2002-10-07,514.23315,85.98183,0.84217596
2002-10-08,479.9002,83.691826,0.81974584
2002-10-09,441.81403,77.478584,0.7588883
2002-10-10,398.548,66.704475,0.6533579
2002-10-11,354.53888,53.820312,0.5271599
2002-10-12,330.50592,42.834084,0.41955185
2002-10-13,310.44006,35.60383,0.34873286
2002-10-14,299.47043,28.96388,0.28369582
2002-10-15,302.74887,26.039795,0.25505492
2002-10-16,313.18262,25.553967,0.25029632
2002-10-17,339.36676,26.49442,0.2595079
2002-10-18,347.98004,29.38389,0.28780973
2002-10-19,347.60864,31.116833,0.30478358
2002-10-20,357.934,33.80719,0.33113512
2002-10-21,373.66083,35.615105,0.3488433
2002-10-22,376.66345,38.879368,0.38081616
2002-10-23,381.05328,41.167095,0.40322402
2002-10-24,382.8443,42.809547,0.41931152
2002-10-25,383.49432,43.885025,0.42984563
2002-10-26,380.09665,44.07948,0.43175027
2002-10-27,362.28555,42.07677,0.4121341
2002-10-28,337.30655,38.43669,0.37648022
2002-10-29,321.02783,35.5791,0.34849066
2002-10-30,319.79904,34.68257,0.3397093
2002-10-31,304.0322,31.873634,0.3121963
2002-11-01,287.25336,28.77214,0.28181776
2002-11-02,271.04828,25.846676,0.25316337
2002-11-03,249.67056,22.256973,0.2180029
2002-11-04,228.73282,18.896942,0.18509202
2002-11-05,211.46477,16.486483,0.16148202
2002-11-06,196.61775,14.736243,0.14433876
2002-11-07,183.23299,13.226502,0.12955113
2002-11-08,173.21265,12.198191,0.119479
2002-11-09,162.85384,10.926474,0.10702277
2002-11-10,150.2975,9.332401,0.09140913
2002-11-11,136.70334,6.928007,0.06785854
2002-11-12,125.37046,5.889925,0.057690717
2002-11-13,115.04948,5.2781606,0.0516986
2002-11-14,105.56233,5.0759473,0.049717955
2002-11-15,96.89256,5.264854,0.051568262
2002-11-16,89.01835,5.675997,0.05559533
2002-11-17,81.88104,6.121407,0.05995804
2002-11-18,75.58257,6.391946,0.062607914
2002-11-19,69.99684,6.606734,0.06471173
2002-11-20,66.44167,5.860931,0.057406723
2002-11-21,63.300922,6.4992604,0.06365904
2002-11-22,58.06786,6.60675,0.06471188
2002-11-23,53.3656,7.0214963,0.068774246
2002-11-24,48.948524,7.473453,0.073201075
2002-11-25,44.898888,7.913633,0.077512555
2002-11-26,41.219135,8.226038,0.08057251
2002-11-27,37.909676,8.367411,0.08195723
2002-11-28,34.936382,8.351447,0.08180086
2002-11-29,32.255093,8.214773,0.08046217
2002-11-30,29.813726,7.9873443,0.078234546
2002-12-01,27.584173,7.700748,0.07542739
2002-12-02,25.542633,7.370911,0.0721967
2002-12-03,23.666752,7.0047293,0.06861002
2002-12-04,21.940668,6.607446,0.0647187
2002-12-05,20.349968,6.1819415,0.060550965
2002-12-06,18.878925,5.7313623,0.056137625
2002-12-07,17.52367,5.260463,0.051525258
2002-12-08,16.27641,4.7697964,0.046719264
2002-12-09,15.119413,4.262912,0.041754425
2002-12-10,14.045191,3.750126,0.036731783
2002-12-11,13.046072,3.2392476,0.031727824
2002-12-12,12.117624,2.7432277,0.026869403
2002-12-13,11.235988,2.2700214,0.022234436
2002-12-14,10.405022,1.8367885,0.017991
2002-12-15,9.611453,1.460714,0.014307421
2002-12-16,8.861549,1.1684015,0.011444274
2002-12-17,8.16405,0.9912191,0.009708806
2002-12-18,7.515825,0.95774597,0.009380943
2002-12-19,6.9227815,1.0528315,0.010312288
2002-12-20,6.3994217,1.2302132,0.0120497085
2002-12-21,5.933365,1.4368776,0.014073948
2002-12-22,5.5363007,1.6500205,0.016161643
2002-12-23,5.182706,1.8457128,0.018078413
2002-12-24,4.870654,2.0071259,0.019659424
2002-12-25,4.6069536,2.132417,0.020886626
2002-12-26,4.37296,2.217809,0.021723025
2002-12-27,4.1620455,2.2635186,0.022170743
2002-12-28,3.9890351,2.281388,0.02234577
2002-12-29,3.846791,2.2854514,0.022385571
2002-12-30,3.7405198,2.2868624,0.02239939
2002-12-31,3.6549592,2.2899718,0.022429846
2003-01-01,3.589929,2.2929175,0.022458699
2003-01-02,3.5345778,2.2893443,0.022423701
2003-01-03,3.4785933,2.271314,0.022247097
2003-01-04,3.4195602,2.234579,0.021887286
2003-01-05,3.3477235,2.176374,0.021317177
