tau,coverage,risk,strategy
0.4929012269323522,0.8576317590691307,0.42657342657342656,S2-Oracle
0.4929012269323522,0.8576317590691307,0.5594405594405595,S2-XGB
0.524566735571081,0.86652977412731,0.6503496503496503,S1-LSTM
0.524566735571081,0.86652977412731,0.48951048951048953,S2-Oracle
0.524566735571081,0.86652977412731,0.6083916083916084,S2-XGB
0.5487368273735047,0.8788501026694046,0.6503496503496503,S1-LSTM
0.5487368273735047,0.8788501026694046,0.5524475524475524,S2-Oracle
0.5487368273735047,0.8788501026694046,0.6503496503496503,S2-XGB
0.5810105380144988,0.894592744695414,0.6503496503496503,S1-LSTM
0.5810105380144988,0.894592744695414,0.5524475524475524,S2-Oracle
0.5810105380144988,0.894592744695414,0.6503496503496503,S2-XGB
0.6411856185306207,0.9041752224503764,0.6503496503496503,S1-LSTM
0.6411856185306207,0.9041752224503764,0.5664335664335665,S2-Oracle
0.6411856185306207,0.9041752224503764,0.6573426573426573,S2-XGB
0.6776652756604287,0.9117043121149897,0.6503496503496503,S1-LSTM
0.6776652756604287,0.9117043121149897,0.5734265734265734,S2-Oracle
0.6776652756604287,0.9117043121149897,0.6643356643356644,S2-XGB
0.709721824689345,0.921286789869952,0.6503496503496503,S1-LSTM
0.709721824689345,0.921286789869952,0.5874125874125874,S2-Oracle
0.709721824689345,0.921286789869952,0.6643356643356644,S2-XGB
0.7402281783927571,0.9322381930184805,0.6503496503496503,S1-LSTM
0.7402281783927571,0.9322381930184805,0.5874125874125874,S2-Oracle
0.7402281783927571,0.9322381930184805,0.6643356643356644,S2-XGB
0.7725978454676544,0.9411362080766599,0.6503496503496503,S1-LSTM
0.7725978454676544,0.9411362080766599,0.6013986013986014,S2-Oracle
0.7725978454676544,0.9411362080766599,0.6713286713286714,S2-XGB
0.8214538861404772,0.9493497604380561,0.6503496503496503,S1-LSTM
0.8214538861404772,0.9493497604380561,0.6083916083916084,S2-Oracle
0.8214538861404772,0.9493497604380561,0.6643356643356644,S2-XGB
0.8573484797911212,0.9678302532511978,0.6503496503496503,S1-LSTM
0.8573484797911212,0.9678302532511978,0.6153846153846154,S2-Oracle
0.8573484797911212,0.9678302532511978,0.6573426573426573,S2-XGB
0.9168508890542114,0.9780971937029432,0.6503496503496503,S1-LSTM
0.9168508890542114,0.9780971937029432,0.6153846153846154,S2-Oracle
0.9168508890542114,0.9780971937029432,0.6503496503496503,S2-XGB
1.0069305424256765,0.9869952087611226,0.6503496503496503,S1-LSTM
1.0069305424256765,0.9869952087611226,0.6293706293706294,S2-Oracle
1.0069305424256765,0.9869952087611226,0.6503496503496503,S2-XGB
1.4565331315994252,0.998631074606434,0.6503496503496503,S1-LSTM
1.4565331315994252,0.998631074606434,0.6503496503496503,S2-Oracle
1.4565331315994252,0.998631074606434,0.6503496503496503,S2-XGB
