date,Q_lstm,w_t,P,PET,P7d,P30d,P90d,ASM,BF_proxy,delta_Q,sin_month,cos_month
2008-08-13,-13.299944,-88.653564,4.9252076,1.1859905,151.29344,10.190462,23.172388,89.6858,-11.213886,-4.169611,1.430488,13.331704
2008-08-14,0.46509838,-35.29048,-3.597418,2.099738,131.47365,13.200962,27.481993,125.35302,-6.2762523,0.97426677,2.024124,11.667277
2008-08-15,6.769636,-22.552877,-13.505389,0.39302963,139.7668,8.018263,19.089005,122.19515,-35.248905,1.3343108,1.9259303,5.5434074
2008-08-16,1.3810875,-23.208475,5.86232,-7.5447683,133.28767,11.946762,18.773726,122.20739,-41.588154,6.6892085,0.8398404,7.6177535
2008-08-17,2.503047,-25.0956,8.251594,3.4774897,91.46864,23.638937,21.259539,126.72653,-51.64674,0.30528817,2.8515208,6.380355
2008-08-18,0.8770185,-15.094387,6.960527,4.619718,14.056888,24.760864,10.838969,140.45876,-40.46084,-29.653885,4.505902,7.8066754
2008-08-19,7.6071715,-15.605781,3.300517,3.094563,4.7217946,22.724487,14.680543,142.90503,-39.169,-31.326338,3.2472475,8.006764
2008-08-20,5.361782,-16.405415,7.7291865,3.7853231,-18.567791,24.481176,16.355524,137.83406,-40.523388,9.840405,2.4961405,7.2450075
2008-08-21,5.472021,-17.631575,1.8585085,4.505034,-34.823643,25.634363,14.065603,117.13203,-54.33894,34.661568,2.259682,6.002999
2008-08-22,-6.732298,-15.781425,-3.979511,2.7900524,-51.479023,21.264973,12.1077795,96.847855,-63.459934,3.7396061,-0.9519858,7.427815
2008-08-23,-15.22617,-23.637291,11.954226,-1.0393612,-51.568157,12.991245,10.935869,88.169106,-66.53455,1.4542589,2.1567137,5.354105
2008-08-24,-5.3727436,-15.065427,-34.551624,-10.22677,7.9550705,20.783648,16.570963,118.878845,-35.716785,24.512228,0.54709315,11.762682
2008-08-25,-28.119944,-14.985309,-1.9250195,-15.586627,32.66169,27.237804,17.799591,129.65291,-31.179953,77.57541,1.3505749,16.033152
